FACILTOTSCP,UPTAENM,X,Y,target,label
15,기타 휴게음식점,193103.5336,456061.4739,1,1
15,커피숍,193139.5239,453106.0026,1,1
15,커피숍,194978.3834,450804.2338,1,1
15,일반조리판매,192628.7452,449524.1602,1,1
15,기타 휴게음식점,192613.4813,451462.344,1,1
15,백화점,190107.0454,445157.6264,0,1
15,백화점,190107.0454,445157.6264,0,1
15,커피숍,190916.204,442206.8872,1,1
15,기타 휴게음식점,189595.4233,444244.2867,0,1
15,기타 휴게음식점,189867.1861,444431.6799,0,1
15,일반조리판매,190352.3217,447095.6412,0,1
15,일반조리판매,193030.5974,444878.3643,1,1
15,패스트푸드,191478.9303,447078.6741,1,1
15,일반조리판매,191741.3458,445970.3076,0,1
15,커피숍,191701.2765,445782.2502,1,1
15,커피숍,194989.9067,445555.2971,1,1
15,일반조리판매,193772.6469,444071.8387,1,1
15,커피숍,196257.8337,443341.3794,1,1
15,편의점,203124.1524,441450.8037,1,1
15,커피숍,203392.7935,440676.3799,0,1
15,일반조리판매,200820.7725,444584.0467,1,1
15,커피숍,205130.5917,445590.0968,0,1
15,커피숍,202788.1804,444442.9811,1,1
15,커피숍,205130.5917,445590.0968,0,1
15,편의점,202969.8046,447247.974,1,1
15,커피숍,207490.9231,443354.5777,1,1
15,커피숍,204320.6332,447133.6585,1,1
15,편의점,203764.9648,445406.1031,1,1
15,편의점,203377.9688,444523.03,1,1
15,기타 휴게음식점,208589.3633,445455.9041,0,1
15,기타 휴게음식점,208589.3633,445455.9041,0,1
15,기타 휴게음식점,211957.3526,443417.2592,1,1
15,커피숍,209164.4889,445019.6603,1,1
15,기타 휴게음식점,210343.6993,443288.285,0,1
15,기타 휴게음식점,206049.2007,452879.0494,1,1
15,기타 휴게음식점,205635.1392,451098.3,1,1
15,편의점,204982.648,454149.7752,1,1
15,일반조리판매,204180.1863,452451.6903,0,1
15,커피숍,202789.6923,454049.5519,1,1
15,커피숍,198039.4265,456615.4818,1,1
15,커피숍,199170.6828,452230.614,1,1
15,기타 휴게음식점,202625.6463,456875.974,0,1
15,커피숍,196949.6392,455909.1661,1,1
15,일반조리판매,200817.3219,450240.0797,1,1
15,일반조리판매,198263.9084,450960.763,0,1
15,푸드트럭,200806.1803,451624.0926,0,1
15,일반조리판매,208632.2355,448891.9957,1,1
15,커피숍,206842.4379,448057.7347,1,1
15,패스트푸드,207098.9948,451260.4457,1,1
15,일반조리판매,205202.6769,457732.7566,1,1
15,일반조리판매,196752.764,450838.5976,1,1
15,일반조리판매,194601.9861,450739.7946,1,1
15,커피숍,195287.7664,451143.7893,1,1
15,커피숍,195287.7664,451143.7893,0,1
15,기타 휴게음식점,195540.8983,448800.6653,1,1
15,아이스크림,194095.5456,449094.526,1,1
15,기타 휴게음식점,185415.8032,447899.7376,1,1
15,백화점,188884.0756,447186.8886,0,1
15,커피숍,182524.8238,451438.2509,0,1
15,기타 휴게음식점,190107.0454,445157.6264,0,1
15,편의점,190015.5939,441086.0485,1,1
15,편의점,190405.0671,441490.9984,1,1
15,커피숍,197242.7742,442502.8193,1,1
15,커피숍,194956.0882,445601.5692,1,1
15,기타 휴게음식점,194416.0733,445111.9401,1,1
15,커피숍,196087.3597,442174.7589,1,1
15,일반조리판매,200576.6086,445241.8984,1,1
15,기타 휴게음식점,203392.7935,440676.3799,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,기타 휴게음식점,205130.5917,445590.0968,0,1
15,일반조리판매,205130.5917,445590.0968,0,1
15,일반조리판매,205130.5917,445590.0968,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,백화점,203470.8484,447369.5799,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,편의점,209038.1984,441163.7957,1,1
15,일반조리판매,203240.2603,447339.6857,1,1
15,기타 휴게음식점,213048.6922,450124.1057,0,1
15,기타 휴게음식점,204664.6815,453517.1138,1,1
15,기타 휴게음식점,203191.5687,453236.598,1,1
15,편의점,207821.7519,454768.6524,1,1
15,편의점,205733.8855,455994.6761,1,1
15,기타 휴게음식점,204157.8435,457906.2556,1,1
15,떡카페,201005.7503,450921.8985,1,1
15,편의점,198516.1892,451641.7381,1,1
15,커피숍,200624.8083,451726.7594,1,1
15,커피숍,198516.1892,451641.7381,0,1
15,커피숍,197502.7155,447781.0774,1,1
15,커피숍,,,1,1
15,기타 휴게음식점,203891.1168,449436.7213,0,1
15,패스트푸드,206718.9206,448503.7877,1,1
15,기타 휴게음식점,205533.0434,457252.4296,1,1
15,일반조리판매,193111.6618,454954.0926,1,1
15,일반조리판매,194907.8574,450641.2788,1,1
15,커피숍,193065.1195,453316.9205,0,1
15,백화점,194265.0676,450433.691,0,1
15,기타 휴게음식점,194068.3796,450023.9778,1,1
15,기타 휴게음식점,191430.0769,450149.818,1,1
15,기타 휴게음식점,190591.913,452920.9897,1,1
15,일반조리판매,188134.5448,449540.8437,0,1
15,백화점,188884.0756,447186.8886,0,1
15,기타 휴게음식점,186017.9716,443263.5662,1,1
15,기타 휴게음식점,192875.2293,447481.6991,0,1
15,기타 휴게음식점,191741.3458,445970.3076,0,1
15,커피숍,191463.8342,446454.7178,1,1
15,편의점,195530.1299,441841.299,1,1
15,일반조리판매,194410.8015,440797.5573,1,1
15,커피숍,192649.9847,440078.9624,1,1
15,기타 휴게음식점,195334.7416,442712.5509,1,1
15,기타 휴게음식점,201693.2335,445310.9781,1,1
15,커피숍,205070.7193,438054.894,1,1
15,패스트푸드,199409.9263,442690.0937,1,1
15,커피숍,203392.7935,440676.3799,0,1
15,커피숍,203392.7935,440676.3799,0,1
15,커피숍,198571.722,442024.7227,1,1
15,일반조리판매,203470.8484,447369.5799,0,1
15,커피숍,206279.2066,443733.8027,0,1
15,일반조리판매,205130.5917,445590.0968,0,1
15,기타 휴게음식점,205130.5917,445590.0968,0,1
15,기타 휴게음식점,206279.2066,443733.8027,0,1
15,기타 휴게음식점,205130.5917,445590.0968,0,1
15,기타 휴게음식점,205130.5917,445590.0968,0,1
15,기타 휴게음식점,205130.5917,445590.0968,0,1
15,기타 휴게음식점,205130.5917,445590.0968,0,1
15,기타 휴게음식점,205130.5917,445590.0968,0,1
15,기타 휴게음식점,205130.5917,445590.0968,0,1
15,커피숍,201952.625,445174.485,0,1
15,커피숍,205130.5917,445590.0968,0,1
15,기타 휴게음식점,203770.3842,445992.3291,1,1
15,커피숍,205130.5917,445590.0968,0,1
15,커피숍,204648.6476,445374.8778,1,1
15,커피숍,202701.2773,446304.0324,1,1
15,일반조리판매,212211.7624,448705.2117,1,1
15,기타 휴게음식점,191385.0574,446098.5559,0,1
15,백화점,191385.0574,446098.5559,0,1
15,기타 휴게음식점,193947.7004,445210.6456,0,1
15,백화점,203470.8484,447369.5799,0,1
15,백화점,203470.8484,447369.5799,0,1
15,커피숍,196707.32,449854.5679,0,1
15,기타 휴게음식점,205391.0704,458333.9892,0,1
15,기타 휴게음식점,187061.8876,446549.0574,0,1
15,백화점,191385.0574,446098.5559,0,1
15,백화점,193592.0004,447092.6294,0,1
15,백화점,191385.0574,446098.5559,0,1
15,일반조리판매,211963.7874,448212.0129,0,1
15,커피숍,200082.297,456382.5802,0,1
15,기타 휴게음식점,202722.2118,460683.2937,0,1
15,기타 휴게음식점,198259.6536,451392.1982,0,1
15,기타 휴게음식점,198263.9084,450960.763,0,1
15,기타 휴게음식점,193156.3333,452815.1819,0,1
15,기타 휴게음식점,194265.0676,450433.691,0,1
15,패스트푸드,193442.2792,450379.3967,0,1
15,기타 휴게음식점,193592.0004,447092.6294,0,1
15,커피숍,192773.5956,445737.8762,0,1
15,백화점,191385.0574,446098.5559,0,1
15,기타 휴게음식점,200996.9747,444526.6884,0,1
15,백화점,200250.4478,444683.2205,0,1
15,기타 휴게음식점,200948.5409,443542.6823,0,1
15,커피숍,206279.2066,443733.8027,0,1
15,기타 휴게음식점,211810.8873,447150.8519,0,1
15.01,경양식,194899.8918,442135.938,0,0
15.01,중국식,194899.8918,442135.938,0,0
15.01,기타,194899.8918,442135.938,0,0
15.02,한식,193929.2192,442519.631,1,0
15.04,한식,198595.3241,449192.271,1,0
